,FIPS,State,County,2015 Population Estimate,Population with low access,% of population with low access,Median Household Income 2015,"Less than a high school diploma, 2013-17","High school diploma only, 2013-17","Some college or associate's degree, 2013-17","Bachelor's degree or higher, 2013-17","% of adults with less than a high school diploma, 2013-17","% of adults with a high school diploma only, 2013-17","% of adults completing some college or associate's degree, 2013-17","% of adults with a bachelor's degree or higher, 2013-17"
35,1071,AL,Jackson,52218,4218.96673811722,8.079525715495079,40201.0,6893.0,15080.0,10087.0,4956.0,18.6,40.7,27.3,13.4
36,1073,AL,Jefferson,660370,205657.867797348,31.14282414363887,48415.0,47558.0,119622.0,137189.0,142679.0,10.6,26.8,30.7,31.9
37,1075,AL,Lamar,13925,229.952612240944,1.6513652584627936,36520.0,2034.0,3736.0,2851.0,1317.0,20.5,37.6,28.7,13.3
38,1077,AL,Lauderdale,92477,12476.0967050946,13.491026639158493,43008.0,8934.0,22269.0,17735.0,14230.0,14.1,35.3,28.1,22.5
39,1079,AL,Lawrence,33138,1648.24435485302,4.973880001367071,41771.0,5136.0,9546.0,6308.0,2380.0,22.0,40.8,27.0,10.2
40,1081,AL,Lee,157009,36835.8868735046,23.461003428787265,46442.0,9303.0,22660.0,28267.0,32222.0,10.1,24.5,30.6,34.9
41,1083,AL,Limestone,91571,9339.42167313804,10.199104163040744,55060.0,10242.0,19353.0,17937.0,15494.0,16.3,30.7,28.5,24.6
42,1085,AL,Lowndes,10353,2539.86439181493,24.532641667293827,31117.0,1698.0,2549.0,1847.0,971.0,24.0,36.1,26.1,13.7
43,1087,AL,Macon,19306,8050.77930475775,41.70091839199083,29522.0,2258.0,3968.0,3588.0,2466.0,18.4,32.3,29.2,20.1
44,1089,AL,Madison,352989,88544.0304518332,25.084076402333555,59117.0,22014.0,50525.0,69895.0,97322.0,9.2,21.1,29.2,40.6
45,1091,AL,Marengo,19760,5125.00561748114,25.936263246362046,35389.0,2279.0,5375.0,3814.0,2089.0,16.8,39.6,28.1,15.4
46,1093,AL,Marion,30123,1929.43172023684,6.405177838319025,34977.0,4134.0,7563.0,6831.0,2878.0,19.3,35.3,31.9,13.4
47,1095,AL,Marshall,94606,10484.7984305757,11.082593525332115,40599.0,12661.0,19782.0,19593.0,11212.0,20.0,31.3,31.0,17.7
48,1097,AL,Mobile,414935,103768.64350403,25.008409390393677,42530.0,37870.0,89951.0,84512.0,63545.0,13.7,32.6,30.6,23.0
49,1099,AL,Monroe,21717,5711.64066386163,26.30032078031786,35163.0,2513.0,6910.0,3528.0,1843.0,17.0,46.7,23.8,12.5
50,1101,AL,Montgomery,227244,66180.6549797803,29.1231693597104,42666.0,21382.0,38205.0,41568.0,48163.0,14.3,25.6,27.8,32.3
51,1103,AL,Morgan,119281,15514.2795759028,13.006496907221434,47234.0,14330.0,24521.0,26101.0,17142.0,17.5,29.9,31.8,20.9
52,1105,AL,Perry,9638,881.549476374204,9.14660174698282,26218.0,1171.0,2458.0,1238.0,991.0,20.0,42.0,21.1,16.9
53,1107,AL,Pickens,20776,529.138640010843,2.5468744705951245,33160.0,2870.0,5384.0,4308.0,1679.0,20.2,37.8,30.3,11.8
54,1109,AL,Pike,33522,4535.49713758166,13.529912110201241,34442.0,3725.0,6493.0,4579.0,4860.0,18.9,33.0,23.3,24.7
55,1111,AL,Randolph,22598,3374.62946397418,14.933310310532702,37333.0,3344.0,5717.0,4264.0,2269.0,21.4,36.7,27.3,14.6
56,1113,AL,Russell,58837,6225.85569408263,10.58153150922486,36124.0,6618.0,12536.0,13020.0,6536.0,17.1,32.4,33.6,16.9
57,1115,AL,St. Clair,86546,4561.84011807665,5.271000529286911,53558.0,9533.0,21794.0,19278.0,9643.0,15.8,36.2,32.0,16.0
58,1117,AL,Shelby,209084,47122.3183671755,22.537505675793224,70879.0,11226.0,29544.0,40834.0,59659.0,7.9,20.9,28.9,42.2
59,1119,AL,Sumter,13206,2304.52537843944,17.450593506280782,25931.0,1429.0,3276.0,2037.0,1502.0,17.3,39.7,24.7,18.2
60,1121,AL,Talladega,81055,11038.3872483772,13.618391522271542,37911.0,10939.0,19706.0,17852.0,7606.0,19.5,35.1,31.8,13.6
61,1123,AL,Tallapoosa,40611,3484.730857794,8.58075609513186,39051.0,5486.0,9728.0,8185.0,5210.0,19.2,34.0,28.6,18.2
62,1125,AL,Tuscaloosa,204736,34859.5802446893,17.026600228923737,47868.0,14807.0,36791.0,35722.0,37825.0,11.8,29.4,28.5,30.2
63,1127,AL,Walker,64933,7858.659653953,12.102720733606949,37305.0,9019.0,16881.0,14287.0,5010.0,20.0,37.3,31.6,11.1
64,1129,AL,Washington,16828,1478.89694731913,8.788310835031673,42658.0,2038.0,5200.0,3131.0,1238.0,17.6,44.8,27.0,10.7
65,1131,AL,Wilcox,10903,4997.12856775663,45.832601740407505,23014.0,1511.0,3130.0,1733.0,868.0,20.9,43.2,23.9,12.0
66,1133,AL,Winston,23929,1459.03265534054,6.097340696813657,36497.0,3929.0,6242.0,4854.0,2230.0,22.8,36.2,28.1,12.9
67,2013,AK,Aleutians East,3381,2203.00003012739,65.15823809900591,57015.0,364.0,1063.0,835.0,293.0,14.2,41.6,32.7,11.5
68,2016,AK,Aleutians West,5781,1243.22905305789,21.505432504028544,80695.0,485.0,1622.0,1369.0,671.0,11.7,39.1,33.0,16.2
69,2020,AK,Anchorage,297613,80039.7236440701,26.893893628326076,77791.0,12747.0,45685.0,67389.0,66489.0,6.6,23.8,35.0,34.6
70,2050,AK,Bethel,17955,11504.8634897179,64.07609852251684,44849.0,1896.0,4281.0,2196.0,1205.0,19.8,44.7,22.9,12.6
71,2060,AK,Bristol Bay,905,996.999998134377,110.1657456502074,66373.0,48.0,227.0,243.0,132.0,7.4,34.9,37.4,20.3
72,2068,AK,Denali,1927,1826.00001354376,94.75869297061546,73000.0,20.0,454.0,409.0,707.0,1.3,28.6,25.7,44.5
73,2070,AK,Dillingham,4987,2461.50966602722,49.35852548681011,50753.0,391.0,1112.0,874.0,499.0,13.6,38.7,30.4,17.4
74,2090,AK,Fairbanks North Star,99630,33612.3839432149,33.73721162623196,70881.0,3349.0,13420.0,24613.0,20471.0,5.4,21.7,39.8,33.1
75,2100,AK,Haines,2516,518.894136562259,20.623773313285334,57876.0,63.0,531.0,625.0,648.0,3.4,28.4,33.5,34.7
76,2105,AK,Hoonah-Angoon,2137,2136.90478780445,99.99554458607626,53726.0,160.0,616.0,514.0,361.0,9.7,37.3,31.1,21.9
77,2110,AK,Juneau,32601,10062.672904577,30.866147984960584,82892.0,893.0,4583.0,7872.0,8998.0,4.0,20.5,35.2,40.3
78,2122,AK,Kenai Peninsula,58029,10888.785060094,18.76438515241345,62025.0,2977.0,12452.0,14884.0,9647.0,7.4,31.2,37.2,24.1
79,2130,AK,Ketchikan Gateway,13706,1062.59891684336,7.7528010859722745,65314.0,769.0,2888.0,3562.0,2295.0,8.1,30.4,37.4,24.1
80,2150,AK,Kodiak Island,13766,1948.65920848546,14.155595005705798,67515.0,1030.0,2596.0,3183.0,2159.0,11.5,28.9,35.5,24.1
81,2164,AK,Lake and Peninsula,1592,1628.68561954873,102.3043730872318,42120.0,97.0,356.0,210.0,126.0,12.3,45.1,26.6,16.0
82,2170,AK,Matanuska-Susitna,101068,23011.2553342344,22.76809211049432,76601.0,5112.0,20746.0,25430.0,13266.0,7.9,32.1,39.4,20.6
83,2180,AK,Nome,9885,5276.00763807735,53.37387595424734,52952.0,821.0,2370.0,1492.0,760.0,15.1,43.5,27.4,14.0
84,2185,AK,North Slope,9795,5522.182352331,56.37756357663094,70834.0,756.0,2594.0,2145.0,995.0,11.6,40.0,33.1,15.3
85,2188,AK,Northwest Arctic,7771,4322.06293794552,55.61784761221876,53774.0,789.0,1902.0,963.0,441.0,19.3,46.4,23.5,10.8
86,2195,AK,Petersburg,3259,180.230547734276,5.530240801910892,63098.0,228.0,652.0,722.0,577.0,10.5,29.9,33.1,26.5
87,2198,AK,Prince of Wales-Hyder,6505,1758.79264788,27.037550313297466,45305.0,446.0,1683.0,1578.0,748.0,10.0,37.8,35.4,16.8
88,2220,AK,Sitka,8778,1632.24976162452,18.594779694970608,68472.0,399.0,1635.0,2104.0,2030.0,6.5,26.5,34.1,32.9
89,2230,AK,Skagway,1087,2.99995376171291,0.2759847066893202,65878.0,63.0,194.0,305.0,267.0,7.6,23.4,36.8,32.2
90,2240,AK,Southeast Fairbanks,6804,3323.08447550762,48.84015983991211,60203.0,380.0,1482.0,1738.0,873.0,8.5,33.1,38.9,19.5
91,2261,AK,Valdez-Cordova,9322,5010.71088565046,53.751457687732895,70101.0,265.0,1789.0,2251.0,2087.0,4.1,28.0,35.2,32.7
92,2275,AK,Wrangell,2459,510.624434692214,20.76553211436413,54500.0,205.0,680.0,611.0,361.0,11.0,36.6,32.9,19.4
93,2282,AK,Yakutat,635,662.00000099384,104.25196866044723,53795.0,39.0,195.0,152.0,94.0,8.1,40.6,31.7,19.6
94,2290,AK,Yukon-Koyukuk,5466,5587.99999538776,102.23197942531577,37755.0,528.0,1437.0,1056.0,429.0,15.3,41.7,30.6,12.4
95,4001,AZ,Apache,71022,50446.8141367026,71.02984165005574,31072.0,9370.0,14425.0,14951.0,5020.0,21.4,33.0,34.2,11.5
96,4003,AZ,Cochise,126502,55218.539200034,43.650329006682895,43451.0,11307.0,20109.0,35417.0,20676.0,12.9,23.0,40.5,23.6
97,4005,AZ,Coconino,139024,41435.5536860364,29.804604734460526,51955.0,8356.0,17246.0,26598.0,28622.0,10.3,21.3,32.9,35.4
98,4007,AZ,Gila,53006,17451.0661177204,32.92281273387994,41346.0,5807.0,10608.0,14876.0,7341.0,15.0,27.5,38.5,19.0
99,4009,AZ,Graham,37873,13894.4627686973,36.68698748104798,44169.0,3305.0,7320.0,9428.0,3297.0,14.2,31.3,40.4,14.1
100,4011,AZ,Greenlee,9575,5895.55884963053,61.572416184130866,58854.0,603.0,2161.0,2363.0,707.0,10.3,37.0,40.5,12.1
101,4012,AZ,La Paz,20483,8846.86161625004,43.19123964385119,34835.0,3536.0,5747.0,4507.0,1746.0,22.8,37.0,29.0,11.2
102,4013,AZ,Maricopa,4175049,511215.572447903,12.244540661628236,56017.0,352327.0,621894.0,897620.0,858772.0,12.9,22.8,32.9,31.4
103,4015,AZ,Mohave,204661,88341.5771291182,43.16483215127367,40360.0,23576.0,54726.0,56652.0,18976.0,15.3,35.6,36.8,12.3
104,4017,AZ,Navajo,107688,41411.3260773712,38.45491241119828,37658.0,11886.0,20483.0,25318.0,10549.0,17.4,30.0,37.1,15.5
105,4019,AZ,Pima,1009737,218481.73008953,21.637488780695367,47107.0,78894.0,149838.0,227377.0,210880.0,11.8,22.5,34.1,31.6
106,4021,AZ,Pinal,406073,80761.8534872067,19.888506127520593,50888.0,40931.0,82525.0,101595.0,51313.0,14.8,29.9,36.8,18.6
107,4023,AZ,Santa Cruz,46602,12583.4229510448,27.001894663415303,34893.0,7111.0,7625.0,7746.0,6395.0,24.6,26.4,26.8,22.1
108,4025,AZ,Yavapai,220845,68596.9359505336,31.0611224843368,47220.0,16458.0,43494.0,66114.0,42068.0,9.8,25.9,39.3,25.0
109,4027,AZ,Yuma,205456,39776.5270122877,19.360119447612966,40426.0,36182.0,33138.0,39968.0,18295.0,28.4,26.0,31.3,14.3
110,5001,AR,Arkansas,18325,7183.71266226274,39.20170620607225,41179.0,2213.0,4960.0,3756.0,1793.0,17.4,39.0,29.5,14.1
111,5003,AR,Ashley,20838,4633.91024763474,22.237787924151743,39871.0,2409.0,5883.0,3975.0,1899.0,17.0,41.5,28.1,13.4
112,5005,AR,Baxter,41136,4618.03029165229,11.226250222803115,36902.0,4006.0,11104.0,10660.0,5820.0,12.7,35.2,33.7,18.4
113,5007,AR,Benton,251673,34546.6198358403,13.726788267251672,60294.0,20402.0,48563.0,42708.0,51732.0,12.5,29.7,26.1,31.7
114,5009,AR,Boone,37112,8411.78466495022,22.66594272728557,40909.0,3826.0,8401.0,9467.0,4203.0,14.8,32.4,36.6,16.2
115,5011,AR,Bradley,11007,1240.00834783248,11.265634122217499,37331.0,1399.0,3179.0,1865.0,1087.0,18.6,42.2,24.8,14.4
116,5013,AR,Calhoun,5201,3493.52796074734,67.17031264655527,40526.0,589.0,1774.0,899.0,457.0,15.8,47.7,24.2,12.3
117,5015,AR,Carroll,27775,1943.27117802682,6.996475888485401,37587.0,2793.0,7020.0,5954.0,3782.0,14.3,35.9,30.5,19.3
118,5017,AR,Chicot,10960,7115.72056623247,64.92445772109919,29968.0,1525.0,3148.0,2022.0,1016.0,19.8,40.8,26.2,13.2
119,5019,AR,Clark,22517,9423.23963448559,41.84944546114309,37856.0,1559.0,4185.0,3964.0,3478.0,11.8,31.7,30.1,26.4
120,5021,AR,Clay,15200,1645.72828388202,10.827159762381712,35324.0,2289.0,4412.0,2829.0,1137.0,21.5,41.4,26.5,10.7
121,5023,AR,Cleburne,25361,2341.79256165515,9.23383368816352,43913.0,2938.0,7372.0,5510.0,2982.0,15.6,39.2,29.3,15.9
122,5025,AR,Cleveland,8284,1838.88684625122,22.19805463847441,44123.0,731.0,2584.0,1445.0,975.0,12.7,45.1,25.2,17.0
123,5027,AR,Columbia,24126,4236.87096050175,17.561431486785004,38057.0,2253.0,6009.0,3411.0,3190.0,15.2,40.4,22.9,21.5
124,5029,AR,Conway,20930,3553.4350831012,16.977711816059244,43702.0,2142.0,6342.0,3715.0,2297.0,14.8,43.8,25.6,15.8
125,5031,AR,Craighead,104419,15955.2023061865,15.27997999041027,42460.0,7791.0,22137.0,18997.0,17669.0,11.7,33.2,28.5,26.5
126,5033,AR,Crawford,61910,10484.3762725612,16.93486718229882,46545.0,5894.0,16347.0,13392.0,6048.0,14.1,39.2,32.1,14.5
127,5035,AR,Crittenden,49071,6476.88070561365,13.198998809100384,37371.0,5790.0,11109.0,8943.0,5262.0,18.6,35.7,28.8,16.9
128,5037,AR,Cross,17254,2383.09274329744,13.811827653282949,39132.0,2267.0,5037.0,2659.0,1589.0,19.6,43.6,23.0,13.8
129,5039,AR,Dallas,7531,3353.85447598974,44.53398587159395,33352.0,899.0,2258.0,1422.0,752.0,16.9,42.4,26.7,14.1
130,5041,AR,Desha,12022,4559.47311700064,37.926078165036095,30987.0,1806.0,3276.0,1891.0,1008.0,22.6,41.0,23.7,12.6
131,5043,AR,Drew,18617,3989.45432425787,21.42909343212048,39339.0,1956.0,4440.0,3101.0,2150.0,16.8,38.1,26.6,18.5
132,5045,AR,Faulkner,121209,18908.5472588058,15.59995318730936,51157.0,6469.0,22489.0,22895.0,21891.0,8.8,30.5,31.0,29.7
133,5047,AR,Franklin,17755,1180.16399126482,6.646938841254971,41933.0,2317.0,4854.0,3585.0,1371.0,19.1,40.0,29.6,11.3
134,5049,AR,Fulton,12137,2343.4208289342,19.308073073528877,34717.0,1371.0,3478.0,2907.0,1072.0,15.5,39.4,32.9,12.1
135,5051,AR,Garland,97816,27118.3923590728,27.723881940656742,37723.0,8331.0,21798.0,26270.0,14225.0,11.8,30.9,37.2,20.1
136,5053,AR,Grant,18014,2119.12818204986,11.763784734372488,47652.0,1236.0,5291.0,3566.0,2367.0,9.9,42.5,28.6,19.0
137,5055,AR,Greene,44298,9620.66066558663,21.71804746396368,43996.0,3939.0,12491.0,8247.0,4747.0,13.4,42.5,28.0,16.1
138,5057,AR,Hempstead,22094,6581.43092097881,29.78831773775147,34560.0,2873.0,5636.0,4045.0,1887.0,19.9,39.0,28.0,13.1
139,5059,AR,Hot Spring,33480,5165.93250419011,15.42990592649376,39851.0,3427.0,9836.0,7212.0,3282.0,14.4,41.4,30.4,13.8
140,5061,AR,Howard,13353,5676.68563191416,42.51243639567258,33199.0,1668.0,3126.0,2777.0,1367.0,18.7,35.0,31.1,15.3
141,5063,AR,Independence,37034,5563.27590662558,15.022076758183237,38241.0,3736.0,9431.0,7408.0,4522.0,14.9,37.6,29.5,18.0
142,5065,AR,Izard,13483,150.823051491608,1.1186164169072759,35355.0,1740.0,3842.0,3261.0,1307.0,17.1,37.9,32.1,12.9
143,5067,AR,Jackson,17371,3107.86497962899,17.89111150554942,32571.0,2811.0,5377.0,3116.0,1150.0,22.6,43.2,25.0,9.2
144,5069,AR,Jefferson,71868,14581.3812859626,20.289115163859574,36990.0,7010.0,18257.0,14448.0,8023.0,14.7,38.2,30.3,16.8
145,5071,AR,Johnson,26103,1502.74542260782,5.7569835750979585,35877.0,3506.0,7423.0,3507.0,2697.0,20.5,43.3,20.5,15.7
146,5073,AR,Lafayette,7015,1615.93852923618,23.03547440108596,33864.0,983.0,2126.0,1217.0,762.0,19.3,41.8,23.9,15.0
147,5075,AR,Lawrence,16702,5222.80588743685,31.27054177605586,34808.0,1823.0,4519.0,3283.0,1761.0,16.0,39.7,28.8,15.5
148,5077,AR,Lee,9676,4722.32758468425,48.80454304138332,28481.0,2066.0,2709.0,1539.0,579.0,30.0,39.3,22.3,8.4
149,5079,AR,Lincoln,13866,4694.28736413289,33.85466150391526,40216.0,2026.0,5358.0,2069.0,815.0,19.7,52.2,20.1,7.9
150,5081,AR,Little River,12421,1914.88805626529,15.416536963733114,39265.0,1333.0,3618.0,3084.0,921.0,14.9,40.4,34.4,10.3
151,5083,AR,Logan,21713,2069.944574439,9.533203953571594,37924.0,2474.0,6765.0,4160.0,1835.0,16.2,44.4,27.3,12.0
152,5085,AR,Lonoke,71336,12276.4894294997,17.209388568884854,56240.0,5399.0,16061.0,15978.0,9433.0,11.5,34.3,34.1,20.1
153,5087,AR,Madison,15707,3813.49854006133,24.278974597703762,41007.0,2222.0,5005.0,2426.0,1261.0,20.4,45.9,22.2,11.6
154,5089,AR,Marion,16211,2255.37670432853,13.912631573181978,34946.0,1731.0,4695.0,4072.0,2004.0,13.8,37.6,32.6,16.0
155,5091,AR,Miller,43912,14528.874643974,33.086342330055565,39005.0,4430.0,10919.0,9664.0,4681.0,14.9,36.8,32.5,15.8
156,5093,AR,Mississippi,43715,5862.95884835965,13.41177821882569,34888.0,4929.0,10936.0,8643.0,3395.0,17.7,39.2,31.0,12.2
157,5095,AR,Monroe,7453,1020.24764516173,13.68908687993734,30801.0,1160.0,2220.0,1329.0,484.0,22.3,42.7,25.6,9.3
158,5097,AR,Montgomery,9029,2108.83295467537,23.356218348381546,37813.0,1436.0,2496.0,1999.0,831.0,21.2,36.9,29.6,12.3
159,5099,AR,Nevada,8513,2631.89242537197,30.916156764618467,35914.0,834.0,2619.0,1405.0,997.0,14.2,44.7,24.0,17.0
160,5101,AR,Newton,7858,3653.07497206561,46.488609977928355,33679.0,1096.0,2361.0,1429.0,909.0,18.9,40.7,24.7,15.7
161,5103,AR,Ouachita,24321,6756.87134966328,27.782045761536452,37987.0,2491.0,7085.0,4682.0,2576.0,14.8,42.1,27.8,15.3
162,5105,AR,Perry,10298,1490.74658645795,14.476078718760437,43020.0,1197.0,2902.0,2171.0,932.0,16.6,40.3,30.1,12.9
163,5107,AR,Phillips,19557,10960.597088673,56.04436819897223,28224.0,3018.0,3886.0,4165.0,1413.0,24.2,31.1,33.4,11.3
164,5109,AR,Pike,10835,2603.40194713087,24.02770601874361,36266.0,1273.0,2765.0,2438.0,1133.0,16.7,36.3,32.0,14.9
165,5111,AR,Poinsett,24016,8364.12753593656,34.82731319094171,32756.0,3343.0,7034.0,4358.0,1597.0,20.5,43.1,26.7,9.8
166,5113,AR,Polk,20196,7939.58793966146,39.31267547861685,34723.0,2081.0,5599.0,4648.0,1768.0,14.8,39.7,33.0,12.5
167,5115,AR,Pope,63577,8394.67528015649,13.203949982157843,41074.0,6393.0,13635.0,11059.0,8877.0,16.0,34.1,27.7,22.2
168,5117,AR,Prairie,8297,3227.06354427812,38.894341861855125,39518.0,1031.0,2546.0,1601.0,831.0,17.2,42.4,26.6,13.8
169,5119,AR,Pulaski,393643,101839.261929696,25.870969871100463,46473.0,25500.0,70093.0,80034.0,89148.0,9.6,26.5,30.2,33.7
170,5121,AR,Randolph,17427,5762.67470571779,33.06750849668784,34730.0,2132.0,4415.0,3856.0,1761.0,17.5,36.3,31.7,14.5
171,5123,AR,St. Francis,26654,7660.23656650706,28.739538405143918,31625.0,3930.0,7285.0,5510.0,1759.0,21.3,39.4,29.8,9.5
172,5125,AR,Saline,116397,23913.2982531669,20.544600164236964,56926.0,7904.0,25702.0,26005.0,20433.0,9.9,32.1,32.5,25.5
173,5127,AR,Scott,10540,1942.85760207044,18.433184080364708,36028.0,1571.0,2910.0,1933.0,729.0,22.0,40.7,27.1,10.2
174,5129,AR,Searcy,7831,2757.11254790789,35.2076688533762,30427.0,961.0,2552.0,1563.0,765.0,16.5,43.7,26.8,13.1
175,5131,AR,Sebastian,127428,12919.2474935847,10.13846838495833,41452.0,14678.0,26825.0,26741.0,16047.0,17.4,31.8,31.7,19.0
176,5133,AR,Sevier,17272,4001.66488564692,23.16850906465331,41848.0,3005.0,3705.0,2797.0,1133.0,28.2,34.8,26.3,10.6
177,5135,AR,Sharp,16811,3878.3965115348,23.070587779042295,32095.0,2121.0,5189.0,3716.0,1291.0,17.2,42.1,30.2,10.5
178,5137,AR,Stone,12380,3115.9136263907,25.16893074628998,32023.0,2122.0,3068.0,2718.0,1219.0,23.2,33.6,29.8,13.4
179,5139,AR,Union,40093,10943.8414857132,27.2961401883451,42195.0,4402.0,9891.0,7485.0,5486.0,16.1,36.3,27.5,20.1
180,5141,AR,Van Buren,16773,1774.93122955086,10.582073746800573,38306.0,1869.0,5607.0,3256.0,1589.0,15.2,45.5,26.4,12.9
181,5143,AR,Washington,224491,29544.0737156694,13.160471339906454,46418.0,21241.0,35790.0,34622.0,42962.0,15.8,26.6,25.7,31.9
182,5145,AR,White,78925,9451.94007150395,11.975850581569782,42508.0,7824.0,19462.0,12860.0,10540.0,15.4,38.4,25.4,20.8
183,5147,AR,Woodruff,6721,381.780216009752,5.680407915633864,31013.0,1106.0,2040.0,1131.0,550.0,22.9,42.3,23.4,11.4
184,5149,AR,Yell,21513,2856.00284025208,13.275706969051646,37415.0,3071.0,6224.0,3264.0,1987.0,21.1,42.8,22.4,13.7
185,6001,CA,Alameda,1634634,107964.398427475,6.604805627894379,81462.0,141961.0,203796.0,284098.0,509294.0,12.5,17.9,24.9,44.7
186,6003,CA,Alpine,1087,575.162591718659,52.91284192443965,50882.0,83.0,277.0,243.0,208.0,10.2,34.2,30.0,25.6
